Index Annotation Celltype Tissue Type Category
78 HFF_MyC-DS15079.twopass.merge150.wgt10.zgt2.wig HFF-Myc foreskin hotspots Hotspots
79 HGF-DS11752.twopass.merge150.wgt10.zgt2.wig HGF gingival hotspots Hotspots
80 HIPEpiC-DS12684.twopass.merge150.wgt10.zgt2.wig HIPEpiC epithelium hotspots Hotspots
81 HL60-DS11809.twopass.merge150.wgt10.zgt2.wig HL-60 blood hotspots Hotspots
82 HMEC-all.twopass.merge150.wgt10.zgt2.wig HMEC breast hotspots Hotspots
83 HMF-DS13363.twopass.merge150.wgt10.zgt2.wig HMF breast hotspots Hotspots
84 HMVEC_dAd-DS12957.hg19.twopass.merge150.wgt10.zgt2.wig HMVEC-dAd blood_vessel hotspots Hotspots
85 HMVEC_dBlAd-DS13337.twopass.merge150.wgt10.zgt2.wig HMVEC-dBl-Ad blood_vessel hotspots Hotspots
86 HMVEC_dBlNeo-DS13242.twopass.merge150.wgt10.zgt2.wig HMVEC-dBl-Neo blood_vessel hotspots Hotspots
87 HMVEC_dLyAd-DS13261.twopass.merge150.wgt10.zgt2.wig HMVEC-dLy-Ad blood_vessel hotspots Hotspots
88 HMVEC_dLyNeo-DS13150.twopass.merge150.wgt10.zgt2.wig HMVEC-dLy-Neo blood_vessel hotspots Hotspots
89 HMVEC_dNeo-DS12937.twopass.merge150.wgt10.zgt2.wig HMVEC-dNeo blood_vessel hotspots Hotspots
90 HMVEC_LBl-DS13372.twopass.merge150.wgt10.zgt2.wig HMVEC-LBl blood_vessel hotspots Hotspots
91 HMVEC_LLy-DS13185.twopass.merge150.wgt10.zgt2.wig HMVEC-LLy blood_vessel hotspots Hotspots
92 HNPCEpiC-DS12467.twopass.merge150.wgt10.zgt2.wig HNPCEpiC epithelium hotspots Hotspots
93 HPAEC-DS12916.hg19.twopass.merge150.wgt10.zgt2.wig HPAEC blood_vessel hotspots Hotspots
94 HPAF-DS13411.twopass.merge150.wgt10.zgt2.wig HPAF blood_vessel hotspots Hotspots
95 HPdLF-DS13573.twopass.merge150.wgt10.zgt2.wig HPdLF epithelium hotspots Hotspots
96 HPF-DS13390.twopass.merge150.wgt10.zgt2.wig HPF lung hotspots Hotspots
97 HRCE-DS10666.twopass.merge150.wgt10.zgt2.wig HRCEpiC epithelium hotspots Hotspots
98 HRE-DS10641.twopass.merge150.wgt10.zgt2.wig HRE epithelium hotspots Hotspots
99 HRGEC-DS13716.twopass.merge150.wgt10.zgt2.wig HRGEC kidney hotspots Hotspots
100 HRPEpiC-DS12583.twopass.merge150.wgt10.zgt2.wig HRPEpiC epithelium hotspots Hotspots
101 HSMM-all.twopass.merge150.wgt10.zgt2.wig HSMM muscle hotspots Hotspots
102 HSMM_D-all.twopass.merge150.wgt10.zgt2.wig HSMM muscle hotspots Hotspots
103 hTH1-all.twopass.merge150.wgt10.zgt2.wig Th1 blood hotspots Hotspots
104 hTH2-DS7842.twopass.merge150.wgt10.zgt2.wig Th2 blood hotspots Hotspots
105 HUVEC-all.twopass.merge150.wgt10.zgt2.wig HUVEC blood_vessel hotspots Hotspots
106 HVMF-DS13981.twopass.merge150.wgt10.zgt2.wig HVMF connective hotspots Hotspots
107 Ishikawa_E_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig Ishikawa uterus hotspots Hotspots
108 Ishikawa_T_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig Ishikawa uterus hotspots Hotspots
109 Jurkat-DS12659.twopass.merge150.wgt10.zgt2.wig Jurkat blood hotspots Hotspots
110 K562-all.twopass.merge150.wgt10.zgt2.wig K562 blood hotspots Hotspots
111 LNCap-all.twopass.merge150.wgt10.zgt2.wig LNCaP prostate hotspots Hotspots
112 MCF7-all.twopass.merge150.wgt10.zgt2.wig MCF-7 breast hotspots Hotspots
113 NB4-DS12543.twopass.merge150.wgt10.zgt2.wig NB4 blood hotspots Hotspots
114 NHA-DS12800.twopass.merge150.wgt10.zgt2.wig NH-A nervous hotspots Hotspots
115 NHDF_Ad-DS12863.twopass.merge150.wgt10.zgt2.wig NHDF-Ad skin hotspots Hotspots
116 NHDF_Neo-DS11923.twopass.merge150.wgt10.zgt2.wig NHDF-neo skin hotspots Hotspots
117 NHEK-all.twopass.merge150.wgt10.zgt2.wig NHEK skin hotspots Hotspots
118 NHLF-DS12829.twopass.merge150.wgt10.zgt2.wig NHLF lung hotspots Hotspots
119 NT2_D1-DS14575.hg19.twopass.merge150.wgt10.zgt2.wig NT2-D1 testis hotspots Hotspots
120 PANC1-DS9955.twopass.merge150.wgt10.zgt2.wig PANC-1 pancreas hotspots Hotspots
121 PrEC-DS12098.hg19.twopass.merge150.wgt10.zgt2.wig PrEC prostate hotspots Hotspots
122 RPTEC-DS14061.twopass.merge150.wgt10.zgt2.wig RPTEC epithelium hotspots Hotspots
123 RWPE_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig RWPE1 prostate hotspots Hotspots
124 SAEC-DS10518.twopass.merge150.wgt10.zgt2.wig SAEC epithelium hotspots Hotspots
125 SkMC-DS11949.twopass.merge150.wgt10.zgt2.wig SKMC muscle hotspots Hotspots
126 SK_N_MC-DS14408.twopass.merge150.wgt10.zgt2.wig SK-N-MC brain hotspots Hotspots
127 SKNSH-DS8482.twopass.merge150.wgt10.zgt2.wig SK-N-SH brain hotspots Hotspots
128 WERI_Rb1-DS13681.twopass.merge150.wgt10.zgt2.wig WERI-Rb-1 eye hotspots Hotspots
129 wgEncodeOpenChromDnase8988tAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig 8988T liver hotspots Hotspots
130 wgEncodeOpenChromDnaseAosmcSerumfreeAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig AoSMC blood_vessel hotspots Hotspots
131 wgEncodeOpenChromDnaseChorionAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig Chorion fetal_membrane hotspots Hotspots
132 wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig CLL blood hotspots Hotspots
133 wgEncodeOpenChromDnaseFibroblAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig Fibrobl skin hotspots Hotspots
134 wgEncodeOpenChromDnaseFibropAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig FibroP skin hotspots Hotspots
135 wgEncodeOpenChromDnaseGlioblaAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig Gliobla brain hotspots Hotspots
136 wgEncodeOpenChromDnaseGm12891AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig GM12891 blood hotspots Hotspots
137 wgEncodeOpenChromDnaseGm12892AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig GM12892 blood hotspots Hotspots
138 wgEncodeOpenChromDnaseGm18507AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig GM18507 blood hotspots Hotspots
139 wgEncodeOpenChromDnaseGm19238AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig GM19238 blood hotspots Hotspots
140 wgEncodeOpenChromDnaseGm19239AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig GM19239 blood hotspots Hotspots
141 wgEncodeOpenChromDnaseGm19240AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig GM19240 blood hotspots Hotspots
142 wgEncodeOpenChromDnaseH9esAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig H9ES es_cell hotspots Hotspots
143 wgEncodeOpenChromDnaseHelas3Ifna4hAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig HeLa-S3 cervix hotspots Hotspots
144 wgEncodeOpenChromDnaseHepatocytesAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig Hepatocytes liver hotspots Hotspots
145 wgEncodeOpenChromDnaseHpde6e6e7AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig HPDE6-E6E7 pancreatic_duct hotspots Hotspots
146 wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig HTR8svn blastula hotspots Hotspots
147 wgEncodeOpenChromDnaseHuh75AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig Huh-7.5 liver hotspots Hotspots
148 wgEncodeOpenChromDnaseHuh7AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig Huh-7 liver hotspots Hotspots
149 wgEncodeOpenChromDnaseIpsAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig iPS ips_cell hotspots Hotspots
150 wgEncodeOpenChromDnaseLncapAndroAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig LNCaP prostate hotspots Hotspots
151 wgEncodeOpenChromDnaseMcf7HypoxlacAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig MCF-7 breast hotspots Hotspots
152 wgEncodeOpenChromDnaseMedulloAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig Medullo brain hotspots Hotspots
153 wgEncodeOpenChromDnaseMelanoAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig Melano skin hotspots Hotspots
154 wgEncodeOpenChromDnaseMyometrAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig Myometr myometrium hotspots Hotspots
155 wgEncodeOpenChromDnaseOsteoblAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig Osteobl bone hotspots Hotspots
156 wgEncodeOpenChromDnasePanisdAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig PanIsletD pancreas hotspots Hotspots
157 wgEncodeOpenChromDnasePanisletsAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig PanIslets pancreas hotspots Hotspots
158 wgEncodeOpenChromDnasePhteAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig pHTE epithelium hotspots Hotspots
159 wgEncodeOpenChromDnaseProgfibAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig ProgFib skin hotspots Hotspots
160 wgEncodeOpenChromDnaseStellateAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig Stellate liver hotspots Hotspots
161 wgEncodeOpenChromDnaseT47dAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig T-47D breast hotspots Hotspots
162 wgEncodeOpenChromDnaseUrotsaAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig Urothelia urothelium hotspots Hotspots
163 wgEncodeOpenChromDnaseUrotsaUt189AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig Urothelia urothelium hotspots Hotspots
